ID,RPD,RPE,TIME
33720,4.37483,4.37483,128557
33820,4.19111,4.19111,121469
33920,4.07701,4.07701,119792
34020,4.52736,4.52736,107260
34120,4.42487,4.42487,122967
34220,4.38456,4.38456,129425
34320,4.41558,4.41558,105968
34420,4.21916,4.21916,121959
34520,3.96177,3.96177,119006
34620,4.12562,4.12562,120195
34720,4.26217,4.26217,113522
34820,3.7769,3.7769,135531
34920,3.96578,3.96578,104214
35020,4.25119,4.25119,116463
35120,4.37432,4.37432,90988.7
35220,3.71754,3.71754,116765
35320,4.16836,4.16836,123101
35420,3.97377,3.97377,137847
35520,4.01498,4.01498,112966
35620,3.92162,3.92162,146598
35720,4.45223,4.45223,106768
35820,4.28773,4.28773,110226
35920,3.93054,3.93054,120319
36020,5.07763,5.07763,113143
36120,4.30833,4.30833,137155
36220,4.2789,4.2789,110919
36320,4.12267,4.12267,101015
36420,4.4825,4.4825,127095
36520,4.20483,4.20483,115237
36620,3.94653,3.94653,113528
36720,4.33106,4.33106,113658
36820,4.31327,4.31327,126713
36920,3.68228,3.68228,111480
37020,4.22635,4.22635,134115
37120,4.56328,4.56328,109312
37220,3.78288,3.78288,126624
37320,4.39715,4.39715,141010
37420,4.08322,4.08322,121567
37520,4.03806,4.03806,139099
37620,4.52591,4.52591,139289
37720,3.9149,3.9149,111765
37820,4.02198,4.02198,127953
37920,3.90695,3.90695,125142
38020,4.30735,4.30735,127461
38120,4.30748,4.30748,122219
38220,3.5182,3.5182,128260
38320,4.18273,4.18273,134492
38420,4.45571,4.45571,118225
38520,4.33739,4.33739,122975
38620,4.08934,4.08934,132624
38720,4.3349,4.3349,127744
38820,4.42157,4.42157,139008
38920,4.16157,4.16157,120066
39020,4.41104,4.41104,147318
39120,4.53892,4.53892,145376
39220,4.62888,4.62888,136111
39320,4.34173,4.34173,121569
39420,4.14183,4.14183,112317
39520,4.38398,4.38398,125355
39620,4.54836,4.54836,124664
39720,3.82201,3.82201,126967
39820,3.86116,3.86116,121697
39920,4.07139,4.07139,143532
40020,4.58661,4.58661,119635
40120,4.85948,4.85948,142950
40220,3.68313,3.68313,124259
40320,4.20595,4.20595,142548
40420,4.75335,4.75335,124451
40520,3.76934,3.76934,135874
40620,4.45221,4.45221,144475
40720,4.21234,4.21234,138508
40820,4.03166,4.03166,131841
40920,3.73445,3.73445,137871
41020,4.39107,4.39107,148746
41120,4.32227,4.32227,126394
41220,3.89549,3.89549,143581
41320,4.54218,4.54218,150162
41420,4.57539,4.57539,153933
41520,4.1958,4.1958,124425
41620,4.27585,4.27585,148390
41720,4.32992,4.32992,137872
41820,3.9981,3.9981,156107
41920,4.45703,4.45703,151728
42020,3.82713,3.82713,132930
42120,3.90615,3.90615,130574
42220,3.92144,3.92144,147705
42320,4.72071,4.72071,158046
42420,3.95997,3.95997,128009
42520,4.45125,4.45125,128701
42620,4.31901,4.31901,147540
42720,3.70565,3.70565,138838
42820,4.33454,4.33454,135419
42920,4.53106,4.53106,134165
43020,4.04505,4.04505,140415
43120,3.89665,3.89665,146000
43220,4.05248,4.05248,128512
43320,4.06493,4.06493,139724
43420,4.59399,4.59399,172798
43520,3.89269,3.89269,169160
43620,4.52169,4.52169,124970
43720,3.92119,3.92119,145604
43820,4.23734,4.23734,156331
43920,3.77666,3.77666,178979
44020,4.06778,4.06778,147469
44120,3.80112,3.80112,148266
44220,4.39847,4.39847,147151
44320,4.05245,4.05245,148357
44420,4.24579,4.24579,158186
44520,4.11939,4.11939,144498
44620,3.72092,3.72092,148530
44720,4.55068,4.55068,143329
44820,4.3072,4.3072,175965
44920,4.35051,4.35051,146962
45020,4.02375,4.02375,137631
45120,4.24893,4.24893,145695
45220,4.02436,4.02436,157505
45320,3.83989,3.83989,164059
45420,4.01637,4.01637,145301
45520,4.28618,4.28618,165349
45620,4.14081,4.14081,145545
45720,4.72193,4.72193,160803
45820,4.22735,4.22735,167181
45920,3.78496,3.78496,144358
46020,4.07456,4.07456,162944
46120,4.57705,4.57705,171579
46220,4.16875,4.16875,154404
46320,3.69846,3.69846,133902
46420,3.65818,3.65818,155409
46520,4.08371,4.08371,153631
46620,4.05334,4.05334,145797
46720,4.37653,4.37653,167096
46820,4.22095,4.22095,159530
46920,3.42911,3.42911,150784
47020,3.97203,3.97203,142515
47120,4.10094,4.10094,145986
47220,3.83378,3.83378,146661
47320,4.8682,4.8682,155438
47420,4.02932,4.02932,140286
47520,4.22839,4.22839,152548
47620,4.83112,4.83112,139649
47720,4.14256,4.14256,185557
47820,3.7792,3.7792,191516
47920,3.58191,3.58191,163897
48020,4.03867,4.03867,181801
48120,5.02548,5.02548,158137
48220,4.46374,4.46374,180575
48320,4.04365,4.04365,166098
48420,4.51984,4.51984,154794
48520,3.78438,3.78438,157142
48620,4.0999,4.0999,168625
48720,3.75827,3.75827,151150
48820,4.14712,4.14712,151243
48920,4.19657,4.19657,176948
49020,4.44483,4.44483,148845
49120,4.79941,4.79941,154108
49220,3.78428,3.78428,170509
49320,5.00548,5.00548,171588
49420,4.5529,4.5529,163740
49520,3.89954,3.89954,188391
49620,4.09817,4.09817,157927
49720,4.21173,4.21173,150564
49820,4.56463,4.56463,171843
49920,4.2326,4.2326,164096
